J / kg	WC
0.00098	0.4984
0.00098	0.4983
0.00098	0.4981
0.076247582	0.4978
0.118365756	0.4975
0.142306939	0.4971
0.18290521	0.4966
0.266824728	0.4962
0.372585608	0.4957
0.465828521	0.4951
0.558760987	0.4945
0.619763614	0.4859
0.63128588	0.4868
0.634199763	0.4911
0.648972174	0.4919
0.650468209	0.4939
0.658000276	0.4903
0.659517123	0.4895
0.659517123	0.4885
0.67487925	0.4926
0.685845156	0.4933
0.696989243	0.4877
0.7874556	0.4848
0.933740241	0.4838
1.062248376	0.4828
1.194609807	0.4816
1.334215789	0.4805
1.406779645	0.4794
1.466310943	0.4782
1.611484289	0.4769
1.699127918	0.4756
1.730717064	0.4743
1.812283247	0.4729
1.915252667	0.4716
2.028738522	0.4701
2.134155577	0.4656
2.168832815	0.4686
2.209154428	0.464
2.286788901	0.4671
2.501647277	0.4623
2.577662632	0.4606
2.637704108	0.4572
2.649879197	0.4589
2.655987799	0.4553
2.787571885	0.4534
2.918946101	0.4514
3.007641549	0.4495
3.134917207	0.4474
3.282661304	0.4454
3.437368365	0.4433
3.624316162	0.4411
3.674735422	0.439
3.803873587	0.4368
4.094737593	0.4345
4.307507831	0.4322
4.510514421	0.4299
4.744889202	0.4274
5.037627786	0.4247
5.311608726	0.4222
5.561937133	0.4196
5.877952547	0.4169
6.197636143	0.4143
6.489721736	0.4118
6.795572899	0.4092
7.099472409	0.4067
7.399903831	0.4042
7.766513039	0.4017
8.170075609	0.3992
8.594608047	0.3966
9.041199986	0.394
9.510997679	0.3914
10.02827132	0.3887
10.62248376	0.3859
11.27784381	0.3831
12.00123875	0.3802
12.77103443	0.3773
13.59020712	0.3743
14.46192403	0.3713
15.38955548	0.3683
16.41444019	0.3652
17.46731192	0.3621
18.58771803	0.3589
19.77999036	0.3557
21.04873865	0.3525
22.34735231	0.3492
23.78077893	0.3459
25.24794734	0.3426
26.74398227	0.3392
28.39396716	0.3358
30.07641549	0.3323
31.85855514	0.3288
33.66867889	0.3253
35.7458868	0.3218
38.12642421	0.3184
40.66549618	0.315
43.17437662	0.3117
45.83804385	0.3085
48.6660475	0.3054
51.54969211	0.3024
2577.662632	0.1464
2577.662632	0.1464
2577.662632	0.1464
5510.944987	0.1071
10028.27132	0.0997
0.073320611	0.534
0.100513889	0.4994
0.104046165	0.5327
0.105980527	0.4991
0.109452598	0.4997
0.114084351	0.4986
0.121962432	0.5336
0.133421579	0.5332
0.134037425	0.4981
0.148670936	0.4998
0.165282196	0.4976
0.202407255	0.497
0.240008198	0.4963
0.29527459	0.5343
0.302848952	0.4956
0.33902059	0.5346
0.406654962	0.4948
0.522668198	0.494
0.637127097	0.4932
0.7554854	0.4924
0.873425919	0.4915
1.012106178	0.4906
1.189121073	0.4897
1.381103022	0.4887
1.582071386	0.4877
1.799807576	0.4867
2.024072553	0.4857
2.047510208	0.4775
2.193946716	0.4788
2.239886827	0.4846
2.323946232	0.4762
2.411160252	0.4835
2.501647277	0.4748
2.571734173	0.4734
2.577662632	0.4688
2.583604758	0.4704
2.601513451	0.4824
2.601513451	0.4801
2.705366299	0.4719
2.730398745	0.4813
2.859078474	0.4673
3.007641549	0.4656
3.127707098	0.4639
3.252565684	0.4622
3.382408645	0.4604
3.469173943	0.4529
3.51743496	0.4586
3.549981384	0.4548
3.624316162	0.4567
3.632671073	0.4509
3.847920367	0.4489
3.983144626	0.4468
4.123120958	0.4446
4.287716631	0.4425
4.458882989	0.4402
4.636882338	0.438
4.810897186	0.4357
5.002949	0.4333
5.202667553	0.4309
5.410358905	0.4284
5.600490639	0.4259
5.824063154	0.4233
6.070522536	0.4207
6.312858802	0.418
6.549770392	0.4153
6.826939838	0.4125
7.132242084	0.4097
7.468374298	0.4069
7.820347935	0.404
8.207786965	0.401
8.614420665	0.398
9.041199986	0.395
9.510997679	0.392
10.00520694	0.389
10.52509624	0.3859
11.12310599	0.3828
11.75509317	0.3797
12.42298829	0.3766
13.12883154	0.3735
13.90676371	0.3704
14.69691139	0.3672
15.53195329	0.3641
16.45227938	0.3609
17.42713822	0.3578
18.50231522	0.3546
19.64382587	0.3514
20.85576265	0.3481
22.19351421	0.3449
23.6170732	0.3416
25.07414169	0.3383
26.74398227	0.335
28.45942201	0.3317
30.35470913	0.3283
32.37621502	0.3249
34.53234536	0.3216
36.83206562	0.3181
39.37549946	0.3147
42.09456982	0.3112
45.00140526	0.3077
48.2198745	0.3042
51.54969211	0.3007
55.10944987	0.2972
58.91502627	0.2937
62.9833963	0.2902
67.02334143	0.2867
577.0667822	0.223
709.9472409	0.2071
709.9472409	0.2071
709.9472409	0.2071
709.9472409	0.2071
709.9472409	0.2071
709.9472409	0.2071
1352.776579	0.1631
1352.776579	0.1631
1352.776579	0.1631
0.00098	0.526
0.103568116	0.5253
0.211458952	0.5246
0.322274598	0.5238
0.41997755	0.5229
0.515496921	0.5221
0.609854279	0.5213
0.692191203	0.5204
0.79109033	0.5196
0.90620421	0.5186
1.002827132	0.5176
1.005138888	0.5037
1.047673782	0.5051
1.099578085	0.5166
1.194609807	0.5156
1.22525385	0.5023
1.265394888	0.5145
1.346561136	0.5135
1.355895051	0.4993
1.368440994	0.5008
1.37475743	0.5113
1.377926574	0.5064
1.410022607	0.5101
1.452867723	0.5124
1.462938521	0.4978
1.510866444	0.4876
1.542503207	0.5077
1.560364553	0.5089
1.593037781	0.4894
1.683550219	0.4962
1.730717064	0.4929
1.746731192	0.4912
1.787417788	0.4945
1.808115111	0.4857
1.991709871	0.4838
2.080779573	0.4818
2.173832491	0.4797
2.307948298	0.4777
2.318601304	0.4756
2.383559929	0.4734
2.554030479	0.4712
2.559918127	0.4689
2.637704108	0.4666
2.755662814	0.4643
2.826350873	0.4619
2.980067325	0.4594
3.127707098	0.4569
3.267578845	0.4543
3.429462637	0.4516
3.607663942	0.4489
3.777687905	0.4462
3.955724851	0.4435
4.161271727	0.4408
4.377499203	0.438
4.594371145	0.4353
4.844244732	0.4324
5.084240382	0.4296
5.348427039	0.4267
5.62634133	0.4237
5.932340573	0.4208
6.240596105	0.4177
6.580002759	0.4147
6.953862126	0.4116
7.332061105	0.4085
7.730829153	0.4054
8.170075609	0.4023
8.654183024	0.3991
9.166975607	0.3958
9.75497309	0.3925
10.38068651	0.389
