J / kg	WC
0.514311311	0.4551
0.517876347	0.455
0.531160873	0.4549
0.551094499	0.4547
0.577066782	0.4545
0.612669239	0.4541
0.656486917	0.4537
0.705059998	0.4533
0.758972562	0.4528
0.820778696	0.4523
0.871417096	0.4503
0.88966412	0.4516
0.899965945	0.4495
0.914589215	0.451
1.02855158	0.4487
1.140843509	0.4479
1.250910033	0.4471
1.359020712	0.4461
1.476474925	0.4452
1.607777978	0.4442
1.738705691	0.4432
1.871656193	0.4421
1.973449765	0.441
2.000903186	0.4346
2.052230207	0.436
2.080779573	0.4398
2.199004285	0.4386
2.239886827	0.4373
2.2450503	0.4331
2.427873616	0.4316
2.571734173	0.4301
2.589560582	0.4252
2.680563352	0.4285
2.686742688	0.4235
2.711602813	0.4269
2.839396716	0.4162
2.845942201	0.4181
2.96637516	0.4218
3.021524191	0.42
3.120513571	0.4143
3.267578845	0.4123
3.398021134	0.4103
3.533670702	0.4082
3.666283765	0.406
3.821431469	0.4038
3.983144626	0.4016
4.151701067	0.3993
4.317437662	0.397
4.48979049	0.3946
4.679786882	0.392
4.889067977	0.3895
5.154969211	0.3866
5.498270165	0.3833
6.001033839	0.3787
6.826939838	0.3722
7.589725618	0.366
8.113833204	0.3617
8.654183024	0.3583
9.251796588	0.3548
9.890678284	0.3515
10.54935909	0.3481
11.20020768	0.3449
11.78219146	0.3421
12.39441621	0.3396
13.06851004	0.337
13.81103022	0.3345
14.56216929	0.3319
15.38955548	0.3294
16.26395169	0.3268
17.22765142	0.3243
18.20648366	0.3218
19.28528564	0.3193
20.47510208	0.3168
21.68832815	0.3142
23.02640164	0.3117
24.50338454	0.3091
26.01513451	0.3065
27.74764156	0.3038
30.00724165	0.3005
32.75111392	0.2966
36.07663942	0.2926
39.55724851	0.2886
43.67431234	0.2844
48.77823433	0.2796
55.10944987	0.2743
61.97636143	0.2695
67.64350078	0.266
73.15197832	0.2635
79.84101983	0.2609
87.14170955	0.2583
94.89122991	0.2557
103.3299158	0.253
112.2602683	0.2504
121.962432	0.2477
132.5031112	0.245	0.01
143.9547752	0.2423	0.01
156.7566868	0.2395	0.01
170.6970736	0.2367	0.01
188.0295366	0.2329	0.01
151784.0287	0.0291	0.01
151784.0287	0.0426	0.01
0.00098	0.4599
0.00098	0.4598
0.00098	0.4597
0.00098	0.4595
0.00098	0.4592
0.00098	0.4589
0.07984102	0.4585
0.126539489	0.458
0.175479374	0.4575
0.222446755	0.457
0.269293627	0.4564
0.32376215	0.4557
0.38390704	0.455
0.442818825	0.4543
0.502604156	0.4535
0.566534126	0.4527
0.634199763	0.4518
0.708314408	0.451
0.7874556	0.4501
0.869412892	0.4491
0.957692477	0.4481
1.052509624	0.4471
1.154053854	0.4461
1.265394888	0.445
1.377926574	0.444
1.48670936	0.4429
1.604080191	0.4418
1.734706779	0.4407
1.871656193	0.4395
2.024072553	0.4383
2.153902675	0.437
2.281529433	0.4357
2.461648703	0.4344
2.625584958	0.433
2.762015273	0.4315
2.932419344	0.4301
3.07769852	0.4286
3.19319967	0.4209
3.215333873	0.4271
3.32067273	0.4225
3.413705687	0.4256
3.591088232	0.4193
3.607663942	0.424
3.86568156	0.4177
4.057196813	0.416
4.1997755	0.4143
4.347364711	0.4125
4.479464258	0.4107
4.48979049	0.4089
4.541779813	0.4071
4.690574905	0.4052
4.91163489	0.4033
5.19070175	0.4013
5.498270165	0.3993
5.783970586	0.3972
6.084516535	0.3951
6.459904173	0.3929
6.905992076	0.3905
7.382884525	0.3878
8.360381117	0.3831
9.93633158	0.3765
11.02112874	0.3715
11.64732183	0.3684
12.45162623	0.3654
13.31147178	0.3623
14.19796416	0.3593
15.07391547	0.3564
16.07777978	0.3534
16.83550219	0.3507
17.46731192	0.3485
18.33268498	0.3463
19.24093071	0.344
20.19417315	0.3417
21.19464153	0.3394
22.19351421	0.337
23.3467308	0.3347
24.55987068	0.3323
25.83604758	0.3299
27.17853703	0.3275
28.6566933	0.3251
30.21524191	0.3226
31.7852825	0.3202
33.51398537	0.3178
35.33670702	0.3153
37.34445069	0.3128
39.37549946	0.3103
42.19160783	0.3073
46.04962264	0.3037
50.49240717	0.2997
55.23649027	0.2956
60.14867651	0.2917
65.80002759	0.2876
72.31461455	0.2832
79.65739058	0.2788
86.94128918	0.2745
92.51796588	0.2713
97.77460625	0.2688
104.2860158	0.2663
110.9752356	0.2638
148329.0023	0.0419	0.03
148329.0023	0.0382	0.03
155319.5329	0.0239	0.03
0.00098	0.4398
0.00098	0.4397
0.00098	0.4396
0.00098	0.4394
0.00098	0.4391
0.00098	0.4388
0.07984102	0.4384
0.126539489	0.4379
0.175479374	0.4374
0.222446755	0.4369
0.269293627	0.4363
0.32376215	0.4356
0.38390704	0.4349
0.442818825	0.4342
0.502604156	0.4335
0.566534126	0.4326
0.634199763	0.4318
0.708314408	0.4309
0.7874556	0.43
0.869412892	0.429
0.957692477	0.428
1.052509624	0.427
1.154053854	0.426
1.265394888	0.4249
1.377926574	0.4239
1.48670936	0.4228
1.604080191	0.4217
1.734706779	0.4206
1.871656193	0.4194
2.024072553	0.4182
2.153902675	0.4169
2.281529433	0.4156
2.461648703	0.4143
2.625584958	0.4129
2.762015273	0.4115
2.932419344	0.41
3.07769852	0.4085
3.19319967	0.4009
3.215333873	0.407
3.32067273	0.4024
3.413705687	0.4055
3.591088232	0.3992
3.607663942	0.404
3.86568156	0.3976
4.057196813	0.3959
4.1997755	0.3942
4.347364711	0.3924
4.479464258	0.3907
4.48979049	0.3889
4.541779813	0.387
4.690574905	0.3851
4.91163489	0.3832
5.19070175	0.3812
5.498270165	0.3792
5.783970586	0.3771
6.084516535	0.375
6.459904173	0.3728
6.905992076	0.3704
7.382884525	0.3677
8.360381117	0.363
9.93633158	0.3564
11.02112874	0.3514
11.64732183	0.3483
12.45162623	0.3453
13.31147178	0.3423
14.19796416	0.3392
15.07391547	0.3363
16.07777978	0.3333
16.83550219	0.3307
17.46731192	0.3284
18.33268498	0.3262
19.24093071	0.3239
20.19417315	0.3216
21.19464153	0.3193
22.19351421	0.317
23.3467308	0.3146
24.55987068	0.3122
25.83604758	0.3098
27.17853703	0.3074
28.6566933	0.305
30.21524191	0.3026
31.7852825	0.3001
33.51398537	0.2977
35.33670702	0.2952
37.34445069	0.2927
39.37549946	0.2902
42.19160783	0.2873
46.04962264	0.2836
50.49240717	0.2796
55.23649027	0.2755
60.14867651	0.2717
65.80002759	0.2675
72.31461455	0.2631
79.65739058	0.2587
86.94128918	0.2544
92.51796588	0.2512
97.77460625	0.2487
104.2860158	0.2462
110.9752356	0.2437
148329.0023	0.0425	0.03
148329.0023	0.0388	0.03
155319.5329	0.0243	0.03
