J / kg	WC
0.00098	0.4398
0.00098	0.4397
0.00098	0.4396
0.00098	0.4394
0.00098	0.4391
0.00098	0.4388
0.07984102	0.4384
0.126539489	0.4379
0.175479374	0.4374
0.222446755	0.4369
0.269293627	0.4363
0.32376215	0.4356
0.38390704	0.4349
0.442818825	0.4342
0.502604156	0.4335
0.566534126	0.4326
0.634199763	0.4318
0.708314408	0.4309
0.7874556	0.43
0.869412892	0.429
0.957692477	0.428
1.052509624	0.427
1.154053854	0.426
1.265394888	0.4249
1.377926574	0.4239
1.48670936	0.4228
1.604080191	0.4217
1.734706779	0.4206
1.871656193	0.4194
2.024072553	0.4182
2.153902675	0.4169
2.281529433	0.4156
2.461648703	0.4143
2.625584958	0.4129
2.762015273	0.4115
2.932419344	0.41
3.07769852	0.4085
3.19319967	0.4009
3.215333873	0.407
3.32067273	0.4024
3.413705687	0.4055
3.591088232	0.3992
3.607663942	0.404
3.86568156	0.3976
4.057196813	0.3959
4.1997755	0.3942
4.347364711	0.3924
4.479464258	0.3907
4.48979049	0.3889
4.541779813	0.387
4.690574905	0.3851
4.91163489	0.3832
5.19070175	0.3812
5.498270165	0.3792
5.783970586	0.3771
6.084516535	0.375
6.459904173	0.3728
6.905992076	0.3704
7.382884525	0.3677
8.360381117	0.363
9.93633158	0.3564
11.02112874	0.3514
11.64732183	0.3483
12.45162623	0.3453
13.31147178	0.3423
14.19796416	0.3392
15.07391547	0.3363
16.07777978	0.3333
16.83550219	0.3307
17.46731192	0.3284
18.33268498	0.3262
19.24093071	0.3239
20.19417315	0.3216
21.19464153	0.3193
22.19351421	0.317
23.3467308	0.3146
24.55987068	0.3122
25.83604758	0.3098
27.17853703	0.3074
28.6566933	0.305
30.21524191	0.3026
31.7852825	0.3001
33.51398537	0.2977
35.33670702	0.2952
37.34445069	0.2927
39.37549946	0.2902
42.19160783	0.2873
46.04962264	0.2836
50.49240717	0.2796
55.23649027	0.2755
60.14867651	0.2717
65.80002759	0.2675
72.31461455	0.2631
79.65739058	0.2587
86.94128918	0.2544
92.51796588	0.2512
97.77460625	0.2487
104.2860158	0.2462
110.9752356	0.2437
148329.0023	0.0425	0.2
148329.0023	0.0388	0.2
155319.5329	0.0243	0.2
