J / kg	WC
0.31277071	0.4901
0.318585551	0.49
0.327511139	0.4899
0.341370569	0.4897
0.354998138	0.4895
0.368320656	0.4895
0.383024078	0.4893
0.400152999	0.489
0.41997755	0.4886
0.440784258	0.488
0.460496226	0.4874
0.47777792	0.4869
0.494568072	0.4865
0.511948265	0.486
0.531160873	0.4855
0.551094499	0.4849
0.571776202	0.4843
0.593234057	0.4836
0.614081587	0.483
0.637127097	0.4822
0.661037467	0.4815
0.684267756	0.4807
0.708314408	0.4798
0.733206111	0.479
0.758972562	0.478
0.78383757	0.4771
0.809517191	0.4761
0.837965379	0.4751
0.863427896	0.474
0.891715007	0.4729
0.920928844	0.4718
0.948912299	0.4706
0.977746063	0.4694
1.009778398	0.4681
1.040461646	0.4668
1.074548632	0.4655
1.109752356	0.4642
1.146109403	0.4628
1.183657558	0.4614
1.22525385	0.46
1.268311925	0.4585
1.315909662	0.457
1.365293667	0.4555
1.419796416	0.454
1.479878551	0.4524
1.542503207	0.4508
1.611484289	0.4492
1.687431203	0.4476
1.771030643	0.446
1.863056714	0.4443
1.964382587	0.4427
2.075993913	0.4411
2.199004285	0.4394
2.33467308	0.4378
2.478712037	0.436
2.655987799	0.4339
2.845942201	0.4318
3.021524191	0.4296
3.215333873	0.4275
3.437368365	0.4252
3.69169723	0.4229
3.955724851	0.4205
4.238635544	0.4182
4.562743717	0.4158
4.900338443	0.4136
5.262911604	0.4113
5.652311341	0.4089
6.056560721	0.4066
6.47479579	0.4043
6.937868687	0.4019
7.399903831	0.3995
7.910903296	0.3971
8.437738771	0.3946
8.999659446	0.3922
9.576924765	0.3897
10.19121763	0.3872
10.86991319	0.3847
11.54053854	0.3821
12.28078351	0.3795
13.0384533	0.3769
13.84286794	0.3743
14.69691139	0.3716
15.60364553	0.3689
16.56632113	0.3662
17.54793737	0.3634
18.63056714	0.3605
19.73449765	0.3576
20.90384015	0.3547
22.09154428	0.3517
23.6170732	0.3487
25.36448657	0.3459
27.24119002	0.3431
29.18946101	0.3403
31.20513571	0.3375
33.36000259	0.3347
35.58164937	0.3318
37.9512492	0.329
40.38555687	0.3261
42.77855156	0.3233
200	0.2206
5000	0.0824	0.1
15000	0.06	0.1
0.00098	0.4966
0.00098	0.4959
0.00098	0.4951
0.087543937	0.4943
0.181646099	0.4935
0.258360476	0.4926
0.321533387	0.4917
0.392849383	0.4907
0.464757146	0.4897
0.531160873	0.4887
0.609854279	0.4876
0.692191203	0.4865
0.776651304	0.4854
0.869412892	0.4842
1.146109403	0.4692
1.30384533	0.4676
1.436236884	0.4659
1.53188469	0.4642
